#longitude	latitude	city
9.650000	54.650000	1644
9.537600	54.456500	1049
10.050000	54.366700	39
10.333300	54.433300	705
10.900000	54.266700	1652
10.416700	53.983300	1972
10.066700	53.600000	710
9.900000	53.466700	696
10.966700	53.800000	1843
10.700000	53.683300	27
11.300000	53.750000	1178
11.500000	53.833300	881
11.533300	53.683300	2053
11.967700	54.568300	197
12.526500	54.961000	270
14.816700	55.166700	880
15.699500	54.194100	1887
15.298500	53.939800	1435
14.781300	52.643400	823
14.433300	52.666700	866
14.283300	52.650000	1696
14.411700	53.362700	141
14.546500	53.473300	1964
14.016700	53.716700	1018
13.283300	53.616700	1391
13.600000	54.116700	1056
13.416700	54.333300	841
13.083300	54.250000	2052
13.204500	54.188400	1778
12.433300	54.200000	509
11.983300	53.716700	1533
12.766700	53.600000	964
12.666700	53.750000	38
12.516700	53.783300	877
11.950000	53.650000	1642
13.000000	52.466700	1631
12.600000	51.833300	993
12.166700	52.050000	445
10.900000	52.883300	994
10.850000	52.683300	687
10.574900	52.904300	2001
10.350000	52.666700	1994
11.166700	52.350000	436
9.766700	51.500000	486
8.783300	51.550000	512
7.733300	51.066700	205
7.569300	51.000600	667
7.450000	51.000000	1645
6.933300	51.216700	727
6.300000	51.216700	511
5.900000	51.050000	1638
5.466700	50.850000	1521
5.443600	50.602200	572
5.683300	50.566700	1853
5.383300	50.300000	1273
5.233300	50.383300	699
4.705000	50.004600	700
4.800000	50.350000	417
5.166700	50.000000	1491
5.733300	49.766700	708
5.600000	49.566700	637
5.915400	49.433600	419
7.037600	49.025700	1986
7.025200	48.941100	200
7.281000	48.819200	657
7.438800	48.718200	592
7.552900	48.671200	92
7.450000	49.333300	1985
7.533300	49.466700	900
7.666700	49.366700	908
8.398600	49.518600	1059
8.399200	49.518600	1317
8.708900	49.831400	1263
7.816700	49.666700	461
7.766700	49.883300	1731
7.716700	50.083300	448
7.600000	49.550000	1527
7.066700	49.416700	1883
6.566700	49.666700	564
6.750000	49.916700	706
6.416700	50.166700	1295
5.883300	50.533300	132
6.566700	50.416700	1643
7.150000	50.366700	871
7.100000	50.550000	965
7.300000	50.550000	441
7.233300	50.850000	680
7.566700	50.583300	496
7.600000	50.650000	251
8.600000	50.466700	1294
8.833300	50.516700	1013
9.100000	50.866700	1179
9.270800	50.751800	37
9.366100	49.930800	1967
10.233300	50.333300	716
9.533300	51.333300	1996
10.783300	51.266700	166
11.316700	50.350000	1425
10.816700	49.766700	1402
11.350000	49.800000	743
10.433300	49.316700	1299
10.566700	49.566700	1639
10.350000	49.583300	1105
10.300000	49.516700	1656
9.366700	48.983300	878
9.700000	49.683300	252
9.183300	48.833300	2059
8.816700	48.866700	2005
8.216700	48.800000	695
8.216700	48.933300	760
8.200000	48.800000	1605
8.883300	48.483300	1498
9.116700	48.233300	587
8.916700	47.816700	1648
9.150000	47.733300	468
9.533300	47.683300	615
9.750000	47.983300	723
10.300000	48.650000	113
10.350000	48.850000	227
10.650000	48.866700	1534
11.233300	48.883300	960
11.416700	49.200000	1515
11.416700	49.550000	870
12.066700	49.633300	1969
12.283300	49.933300	472
11.933300	50.183300	1161
12.633300	50.783300	1749
12.100000	51.566700	513
11.916700	51.233300	1763
12.072600	51.109700	458
13.366700	51.116700	142
13.533300	51.000000	1394
13.444400	50.900000	209
13.133300	51.516700	73
13.616700	52.366700	510
14.216700	51.650000	488
14.900000	51.683300	1265
15.030800	51.814000	1087
15.475100	51.704200	363
15.213100	51.634700	1108
14.966700	51.933300	1783
15.422200	52.012000	424
16.207900	52.263200	25
15.842300	53.296100	423
16.583300	53.716700	1342
18.483300	54.683300	1323
19.417800	54.271300	1222
19.742000	54.090500	53
20.428300	53.917900	811
19.880800	53.839000	1720
19.261300	53.053500	255
18.913200	52.732800	1151
18.397400	52.511100	1396
17.383300	52.483300	766
17.498300	52.744500	785
18.900800	53.684600	925
20.475600	54.148400	753
21.933300	56.533300	1266
21.633300	55.666700	1535
24.376900	58.715300	1933
24.388900	58.511400	976
25.073900	60.266100	707
24.816700	60.280000	1361
24.433300	60.483300	1174
24.887800	60.428900	901
25.900000	60.383300	919
27.683300	60.566700	1450
28.600000	61.900000	818
28.810800	61.157500	765
25.095600	59.125600	874
22.366700	60.366700	875
21.400000	60.766700	1779
20.033300	60.250000	688
17.216700	60.683300	222
17.850000	63.933300	703
16.766700	64.416700	1934
18.250000	65.016700	170
18.883300	64.816700	1539
22.250000	61.616700	971
21.916700	61.083300	1713
22.733300	60.583300	1806
23.666700	61.133300	1242
23.350000	61.466700	1712
27.786100	62.173000	923
27.983300	64.400000	1148
29.100000	64.483300	849
23.933300	62.166700	1476
23.800000	61.883300	838
23.050000	62.116700	959
22.300000	63.200000	1860
21.666700	62.716700	1767
25.416700	64.933300	1326
26.550000	65.516700	755
42.160000	61.080000	1912
48.966800	58.033800	69
47.871100	56.636900	804
50.213500	56.548100	65
48.594700	52.859400	1428
50.481800	53.014500	1432
52.798500	54.537800	261
59.210600	53.876900	1920
57.960300	52.585400	666
53.971900	49.661100	836
49.147000	51.643100	213
46.498100	51.613400	1688
46.089200	52.858900	1540
41.789400	51.582100	1236
41.418100	52.822100	1399
45.871200	55.722600	230
42.833300	55.900000	1686
42.700300	56.194700	644
39.833400	54.789700	1729
39.838900	56.148800	59
41.341700	56.702000	887
40.737700	56.922700	1683
37.639600	59.189200	1249
40.048600	60.054400	1736
29.808300	60.718900	1520
29.725300	60.519600	894
29.828400	59.660000	850
31.746500	58.417100	481
31.369100	58.660900	347
30.595300	56.398200	173
30.910900	56.045900	1830
28.465400	56.295500	1653
27.416700	56.700000	1517
24.441700	55.708300	1335
24.483300	55.633300	815
22.777500	55.428900	1250
23.383300	54.583300	9
23.316700	54.583300	1173
22.769600	54.260900	684
24.033300	54.050000	1930
22.972700	53.908100	1785
21.799500	53.144200	2041
20.666300	52.937200	899
20.411400	52.600900	1694
20.463900	52.266600	826
20.350000	52.083300	1753
21.355500	52.191200	491
21.206900	52.822700	1786
22.433300	53.100000	1542
23.150000	53.370600	221
23.729700	53.168600	1784
26.707400	53.509200	2042
27.391700	53.839700	1330
26.276800	52.038100	1201
30.205900	50.414700	641
28.548700	50.272900	144
26.184900	50.601500	1869
25.183300	50.883300	146
22.689500	50.141900	425
22.566700	50.166700	1855
19.729000	49.730700	2040
19.433300	50.166700	1992
18.532800	50.390600	1449
18.202200	50.007100	219
18.953800	49.854800	1147
19.436100	47.665300	754
19.950000	48.150000	1792
20.950000	48.300000	1181
20.266700	46.650000	1787
20.283300	46.700000	1228
20.216400	45.902500	787
20.487800	44.785800	1945
21.597200	44.196100	1153
20.699200	44.438600	1165
21.316700	46.150000	64
21.853600	45.812500	546
23.200000	46.233300	257
23.633300	46.150000	1307
22.933300	47.416700	216
23.976400	46.448300	627
25.841100	47.384900	1890
26.366700	47.166700	1842
26.183300	45.850000	406
26.000000	45.600000	274
25.200000	45.150000	1089
25.000000	45.783300	757
24.569400	48.634800	1224
21.950000	49.250000	1226
